Date,Open,High,Low,Close,Volume
2018-01-31 00:00,10230.0,10425.85,9700.0,10285.1,181644207.11316264
2018-02-01 00:00,10285.1,10335.0,8750.99,9224.52,317636345.9843711
2018-02-02 00:00,9224.52,9250.0,8010.02,8873.03,434236483.7044874
2018-02-03 00:00,8873.03,9473.01,8229.0,9199.96,256834729.0599109
2018-02-04 00:00,9199.96,9368.0,7930.0,8184.81,274912288.421322
2018-02-05 00:00,8179.99,8382.8,6625.0,6939.99,471166218.7134473
2018-02-06 00:00,6939.63,7878.0,6000.01,7652.14,684364276.3666689
2018-02-07 00:00,7655.02,8476.0,7150.01,7599.0,477935038.8117769
2018-02-08 00:00,7599.0,7844.0,7572.09,7784.02,11770168.04386595
2018-02-09 00:00,7789.9,8738.0,7789.9,8683.92,173348469.81187892
2018-02-10 00:00,8683.93,9065.78,8120.0,8533.98,423411421.93098
2018-02-11 00:00,8533.99,8549.0,7726.53,8063.88,366966437.2498885
2018-02-12 00:00,8063.82,8989.0,8053.0,8903.0,362440826.9943769
2018-02-13 00:00,8903.0,8950.0,8351.0,8539.9,305165143.6969234
2018-02-14 00:00,8535.17,9489.6,8533.0,9449.99,370126692.728233
2018-02-15 00:00,9449.98,10219.5,9301.5,10000.09,512388484.73178285
2018-02-16 00:00,10000.89,10323.37,9666.0,10159.98,381103299.2238848
2018-02-17 00:00,10156.07,11075.07,10050.0,11039.55,446012696.1692673
2018-02-18 00:00,11039.55,11274.0,10080.0,10383.43,649423311.3100228
2018-02-19 00:00,10375.01,11250.0,10270.33,11153.0,443766562.68306607
2018-02-20 00:00,11147.11,11786.01,11100.59,11200.99,551573232.2429588
2018-02-21 00:00,11195.07,11304.03,10200.0,10437.6,731537130.492186
2018-02-22 00:00,10439.02,10933.44,9679.0,9811.04,682006373.869588
2018-02-23 00:00,9815.55,10435.0,9570.19,10131.04,571800753.4709765
2018-02-24 00:00,10131.04,10496.97,9352.0,9694.51,405618586.64803785
2018-02-25 00:00,9694.51,9847.0,9274.8,9590.0,271286599.1260862
2018-02-26 00:00,9590.0,10444.32,9350.0,10324.0,347559259.73845184
2018-02-27 00:00,10321.0,10870.0,10121.0,10569.04,324295371.1414657
2018-02-28 00:00,10584.33,11098.0,10300.0,10326.76,327914696.13067526
2018-03-01 00:00,10325.64,11060.41,10240.0,10920.0,268172535.3811293
2018-03-02 00:00,10923.36,11200.0,10770.0,11039.0,262936307.0078576
2018-03-03 00:00,11038.99,11544.0,11015.01,11464.48,241749497.9024717
2018-03-04 00:00,11464.47,11565.0,11050.02,11515.0,194849579.12502077
2018-03-05 00:00,11515.0,11710.0,11415.01,11454.0,174866951.39806527
2018-03-06 00:00,11455.0,11455.0,10555.48,10716.48,323842216.64859617
2018-03-07 00:00,10716.48,10899.0,9389.31,9910.0,514808033.4879209
2018-03-08 00:00,9910.0,10099.0,9060.0,9271.64,394641280.63843673
